epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7166,1.40202,3.9618,1.48201,0.00184,0.23333,0.00809,0.00256,1.32607,4.01744,1.45716,3.333e-05,3.333e-05,3.333e-05
2,29.0795,1.36111,3.91174,1.47441,0.00192,0.23333,0.00967,0.00266,1.11996,3.97422,1.30795,7.52036e-05,7.52036e-05,7.52036e-05
3,36.3625,1.28184,3.75599,1.32139,0.00252,0.29,0.01015,0.00249,0.96852,3.92812,1.22335,0.000114144,0.000114144,0.000114144
4,43.6695,1.13181,3.4694,1.28262,0.004,0.54,0.02612,0.01292,0.8108,3.84403,1.09275,0.000150152,0.000150152,0.000150152
5,50.6189,1.16217,3.3123,1.26208,0.00613,0.68667,0.14824,0.12749,0.69378,3.72795,1.02827,0.000183226,0.000183226,0.000183226
6,58.4786,1.09103,2.95096,1.19859,0.00827,0.89333,0.34451,0.30444,0.62537,3.51902,0.92961,0.000213368,0.000213368,0.000213368
7,65.6851,1.06982,2.59348,1.1934,0.0089,1,0.44036,0.38506,0.68369,3.33901,0.90534,0.000240576,0.000240576,0.000240576
8,72.7217,1.04777,2.42965,1.21489,0.00913,1,0.49847,0.42237,0.77248,3.16651,0.91199,0.000264851,0.000264851,0.000264851
9,79.7444,1.08411,2.34966,1.24091,0.01077,1,0.6804,0.51578,0.84274,3.08827,0.93458,0.000286194,0.000286194,0.000286194
10,86.7085,0.98572,2.1513,1.11391,0.01133,1,0.7148,0.56061,0.82071,3.08807,0.94172,0.000304603,0.000304603,0.000304603
11,93.6815,1.0367,2.03437,1.23254,1,0.14239,0.58596,0.4613,0.79364,3.04194,0.92994,0.000320079,0.000320079,0.000320079
12,100.691,0.99258,1.75737,1.17033,0.99039,0.2,0.76655,0.58894,0.7644,2.96658,0.92937,0.000332622,0.000332622,0.000332622
13,107.829,0.9681,1.6575,1.14607,0.91232,0.4,0.73784,0.60104,0.74951,2.85132,0.92188,0.000342232,0.000342232,0.000342232
14,114.995,0.95453,1.68188,1.13815,0.7729,0.45,0.74394,0.60907,0.72894,2.75388,0.89364,0.00034891,0.00034891,0.00034891
15,121.948,0.85531,1.64914,1.10385,0.82171,0.5,0.75618,0.64285,0.65002,2.68021,0.88765,0.000352654,0.000352654,0.000352654
16,128.907,0.88704,1.48551,1.17,0.81405,0.51374,0.79684,0.67546,0.66667,2.56897,0.87504,0.000353465,0.000353465,0.000353465
17,135.666,0.96915,1.47405,1.14846,0.60235,0.63493,0.83349,0.70046,0.67188,2.44799,0.8857,0.000351343,0.000351343,0.000351343
18,142.681,0.81784,1.36005,1.05012,0.62541,0.79875,0.84595,0.71818,0.6533,2.11376,0.91411,0.000346288,0.000346288,0.000346288
19,149.741,0.95301,1.39672,1.16302,0.66243,0.83222,0.84862,0.72247,0.63427,2.00188,0.92583,0.0003383,0.0003383,0.0003383
20,156.824,0.87889,1.29662,1.13179,0.71774,0.79433,0.84738,0.72322,0.63304,1.91536,0.94243,0.000327378,0.000327378,0.000327378
21,163.993,0.70237,1.33245,1.02832,0.69813,0.75737,0.85321,0.72384,0.67697,1.92499,0.95952,0.000313524,0.000313524,0.000313524
22,170.815,0.63654,1.39284,1.02946,0.72186,0.77963,0.875,0.73502,0.71578,1.97758,0.97069,0.000296737,0.000296737,0.000296737
23,177.883,0.59845,1.05788,0.94483,0.75979,0.87101,0.91711,0.77102,0.7164,1.8274,0.93207,0.000277017,0.000277017,0.000277017
24,184.593,0.71931,1.22289,1.02276,0.84853,0.90716,0.9575,0.79733,0.73086,1.75425,0.92375,0.000254363,0.000254363,0.000254363
25,191.411,0.6,1.2851,0.96775,0.8595,0.87839,0.95676,0.79052,0.69949,1.63431,0.92317,0.000228777,0.000228777,0.000228777
26,198.267,0.56803,1.11035,0.98032,0.85257,0.91263,0.95833,0.82395,0.66195,1.51393,0.92337,0.000194425,0.000194425,0.000194425
27,205.321,0.61261,1.01708,0.92123,0.86936,0.91319,0.9575,0.83463,0.63133,1.40406,0.92706,0.000157762,0.000157762,0.000157762
28,212.234,0.57742,1.16717,0.96087,0.8812,0.91264,0.95676,0.83398,0.61342,1.30742,0.92954,0.000121099,0.000121099,0.000121099
29,218.922,0.52032,1.02476,0.89486,0.90294,0.91077,0.95676,0.83398,0.60109,1.27264,0.9275,8.4436e-05,8.4436e-05,8.4436e-05
30,225.558,0.57281,0.93726,0.94523,0.91361,0.91044,0.95833,0.83734,0.59556,1.22055,0.93434,4.7773e-05,4.7773e-05,4.7773e-05
